,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
33,Zion.T,54,573685,https://open.spotify.com/artist/5HenzRvMtSrgtvU16XAoby,"['k-pop', 'k-rap', 'korean r&b']",No Make Up,No Make Up,61,2015-10-12,189154,False,https://open.spotify.com/album/0r0xWI5K9ieP0jpZUrXrDd,https://open.spotify.com/track/4ppKRxity3jJd2hGoVyD4u
34,BIGBANG,62,5145706,https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX,"['k-pop', 'k-pop boy group']",BANG BANG BANG,MADE,70,2016-12-13,220177,False,https://open.spotify.com/album/2SPrl8C8pgSM5gXbAiyJHY,https://open.spotify.com/track/3dI59jLoFMjMAyUAyRZnkE
35,TWICE,79,18278225,https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,"['k-pop', 'k-pop girl group', 'pop']",MOONLIGHT SUNRISE,READY TO BE,75,2023-03-10,180320,False,https://open.spotify.com/album/7hzP5i7StxYG4StECA0rrJ,https://open.spotify.com/track/5IN9W6eUfk3014My9awagX
36,Red Velvet,69,8573957,https://open.spotify.com/artist/1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']",Psycho,‘The ReVe Festival’ Finale,78,2019-12-23,210560,False,https://open.spotify.com/album/3rVtm00UfbuzWOewdm4iYM,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
37,DAY6,61,3151973,https://open.spotify.com/artist/5TnQc2N1iKlFjYD7CPGvFc,"['k-pop', 'k-pop boy group']",You Were Beautiful,SUNRISE,66,2017-06-07,283160,False,https://open.spotify.com/album/70ryb5nR8iCsY8OlIq2J8c,https://open.spotify.com/track/3FR2yqZsG07NhXz7uPyUyC
38,ZICO,58,1317740,https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0,"['k-pop', 'korean r&b']",New thing (Prod. ZICO) (Feat. Homies),Street Man Fighter Original Vol.3 (Mission by Rank),69,2022-09-06,147426,False,https://open.spotify.com/album/54UUQN3j32n8TA2OJxTcHP,https://open.spotify.com/track/5mdWIwsJAzR97ShGkt8gcR
39,Loco,57,387363,https://open.spotify.com/artist/2e4G04F77jxVuDYo44TCSm,"['k-pop', 'k-rap', 'korean r&b']",Say Yes,"Moonlovers - Scarlet Heart Ryeo (Original Television Soundtrack), Pt. 2",71,2016-08-29,218897,False,https://open.spotify.com/album/68xTLBWjoRADRf86WYmTmy,https://open.spotify.com/track/27zrFrtUtWl2urlvjOn5xc
40,TAEYANG,67,1166851,https://open.spotify.com/artist/6udveWUgX4vu75FF0DTrXV,"['k-pop', 'korean r&b']",Shoong! (feat. LISA of BLACKPINK),Down to Earth,79,2023-04-25,205101,False,https://open.spotify.com/album/6uMu4poce5OdMd1HYglZux,https://open.spotify.com/track/5HrIcZOo1DysX53qDRlRnt
41,STAYC,62,1394713,https://open.spotify.com/artist/01XYiBYaoMJcNhPokrg0l0,"['k-pop', 'k-pop girl group']",RUN2U,YOUNG-LUV.COM,72,2022-02-21,213426,False,https://open.spotify.com/album/2xPdgNkM4yIQmP7axJ1T1o,https://open.spotify.com/track/3gFcGnU4kTdMYLXDjH1TK8
42,DEAN,59,1350527,https://open.spotify.com/artist/3eCd0TZrBPm2n9cDG6yWfF,"['k-pop', 'korean r&b']",instagram,instagram,69,2017-12-26,255728,False,https://open.spotify.com/album/1wW2yfORAbOEfn2Et1q687,https://open.spotify.com/track/6z1kLsntE7FuzKZHZWrXYN
