,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
87,Park Hyo Shin,40,160390,https://open.spotify.com/artist/57htMBtzpppc1yoXgjbslj,['korean pop'],Wild Flower,I am A Dreamer,50,2016-10-03,314254,False,https://open.spotify.com/album/6ceHoTiPm8m5gera0XdBOW,https://open.spotify.com/track/5wQgwLigxPtDwDMMFCu2tV
88,Sam Kim,56,430811,https://open.spotify.com/artist/4BBN286rBKyCWsSPq2cxYO,"['k-pop', 'korean r&b']",Love Me Like That,"Nevertheless, (Original Television Soundtrack, Pt. 6)",71,2021-07-24,211363,False,https://open.spotify.com/album/4MLxdCgljBck6ddj3BKFTi,https://open.spotify.com/track/1lhm29o3syw122xynSKaAK
89,Jung Seung Hwan,52,239903,https://open.spotify.com/artist/7l8rOFwZFQ3G0sgZ7gjGng,['korean pop'],Day & Night,START-UP (Original Television Soundtrack) Pt. 2,65,2020-10-18,260600,False,https://open.spotify.com/album/2syAapNLqkGguLZr8PZubk,https://open.spotify.com/track/0JlYPewyE0Cs5rkUCsWqgy
90,2NE1,57,2450168,https://open.spotify.com/artist/1l0mKo96Jh9HVYONcRl3Yp,"['dance pop', 'k-pop', 'k-pop girl group']",I Am The Best,I Am The Best,72,2014-12-09,208730,False,https://open.spotify.com/album/7zjLDZzHo2XgvYwpuNwEvK,https://open.spotify.com/track/26EM9sZnQkLLQxixGd88KE
91,N.Flying,47,800331,https://open.spotify.com/artist/2ZmXexIJAD7PgABrj0qQRb,"['k-pop', 'k-pop boy group', 'k-rock']",Rooftop,FLY HIGH PROJECT #2 'Rooftop',58,2019-01-02,210652,False,https://open.spotify.com/album/6UGXwkMNagPJ3jhSMTv4V5,https://open.spotify.com/track/2LwH6T39A5IODRgPv9XitR
92,D.O.,57,1707682,https://open.spotify.com/artist/2CQZr2RPZmrcvDnaod1ldC,['k-pop'],I'm Gonna Love You,공감 (Empathy) - The 1st Mini Album,69,2021-07-26,151733,False,https://open.spotify.com/album/4dqWy2Soq1Z1rqgKfXOATk,https://open.spotify.com/track/1jxGBe4s8FwL2ZeNWszVuu
93,KAI,65,1179820,https://open.spotify.com/artist/6iVo62B0bdTknRcrktCmak,['k-pop'],Rover,Rover - The 3rd Mini Album,84,2023-03-13,174506,False,https://open.spotify.com/album/5gzd4IZ9KTwW6Hhgll1K7U,https://open.spotify.com/track/3WUyu94psXrYV6HZbXgcFA
94,Onestar,37,30555,https://open.spotify.com/artist/6EmgTIhhXGtfAmYYTfdtlz,"['k-pop ballad', 'korean pop']",Because I Don't Love You,Because I Don't Love You,48,2023-04-02,223826,False,https://open.spotify.com/album/7LX3cJhfSEBEX8zhw1LrKU,https://open.spotify.com/track/5mdl3TlXrImNPrIo3aO70q
95,wave to earth,68,524359,https://open.spotify.com/artist/5069JTmv5ZDyPeZaCCXiCg,"['bedroom r&b', 'korean city pop']",seasons,summer flows 0.02,81,2020-08-04,256000,False,https://open.spotify.com/album/4R3ERcDOQP7o1Lkok2uO7E,https://open.spotify.com/track/1acVBP8BcK6LTeNeFjfxnh
96,THE BOYZ,57,2597408,https://open.spotify.com/artist/0CmvFWTX9zmMNCUi6fHtAx,"['k-pop', 'k-pop boy group']",ROAR,THE BOYZ 8th MINI ALBUM [BE AWAKE],61,2023-02-20,220106,False,https://open.spotify.com/album/1rxSHvDHLjLdz7x8G4Ssy5,https://open.spotify.com/track/7yP9oxhtOozkCptLHJoq3l
97,Sunwoojunga,46,99003,https://open.spotify.com/artist/04L3elxyr0XFua2Ek3domW,"['k-indie', 'korean pop']",Silence,"See You in My 19th Life, Pt. 1 (Original Television Soundtrack)",60,2023-06-18,208953,False,https://open.spotify.com/album/2FpX66kv5OmYPcW1z096xX,https://open.spotify.com/track/4jo1vWSksZ88INZrc3EEhz
98,Lim Jae Hyun,34,34393,https://open.spotify.com/artist/3GXxRsiCLmZvM5oSeHbNdO,"['k-pop ballad', 'korean pop']",If there was practice in love,If there was practice in love,47,2018-09-25,255882,False,https://open.spotify.com/album/4gsKPC03bkp8pcZwUi6kgR,https://open.spotify.com/track/4eyBiwsaGBRCjACGZKZsf7
99,Jeon Sang Keun,35,36354,https://open.spotify.com/artist/3uCDicSmenMBtsKb5A51dd,"['k-pop ballad', 'korean ost', 'korean pop']",Why break up? (My love X Jeon Sang Keun),Why break up? (My love X Jeon Sang Keun),40,2023-06-06,271280,False,https://open.spotify.com/album/3fKPvx8jP5KFx7nTatm88K,https://open.spotify.com/track/668e9vwoz1MhnFai3fNvHF
100,Primary,42,82309,https://open.spotify.com/artist/4QDcs3XrA8uHUZ7Xt9Ytep,"['k-indie', 'k-rap', 'korean city pop']",U (Feat. Kwon Jin Ah & Rap Monster),2,50,2015-08-12,255010,False,https://open.spotify.com/album/1H59BSWW8dygtTZv51DmbA,https://open.spotify.com/track/5LlgJFQLF4uXmt1nCtdyTJ
